mae_vz,continuity_violation,alignment_error,detection_rate,rmse_total,crystal_count,complexity_index,sample_id,correlation_vz,processing_time,mae_vx,ssim_vz,timestamp,mae_total
0.670377,0.01574069,0.96,1.0,0.684213,5,0.239,1,0.5747,0.696,0.449666,0.1264,2025-08-17T10:21:46.705,0.560022
0.670377,0.01574069,0.96,1.0,0.684213,5,0.239,2,0.5747,0.654,0.449666,0.1264,2025-08-17T10:21:58.397,0.560022
0.670377,0.01574069,0.96,1.0,0.684213,5,0.239,3,0.5747,0.669,0.449666,0.1264,2025-08-17T10:22:10.063,0.560022
0.670377,0.01574069,0.96,1.0,0.684213,5,0.239,4,0.5747,0.634,0.449666,0.1264,2025-08-17T10:22:21.365,0.560022
0.670377,0.01574069,0.96,1.0,0.684213,5,0.239,5,0.5747,0.724,0.449666,0.1264,2025-08-17T10:22:32.678,0.560022
0.670377,0.01574069,0.96,1.0,0.684213,5,0.239,6,0.5747,0.716,0.449666,0.1264,2025-08-17T10:22:45.258,0.560022
0.670377,0.01574069,0.96,1.0,0.684213,5,0.239,7,0.5747,0.692,0.449666,0.1264,2025-08-17T10:22:57.587,0.560022
0.670377,0.01574069,0.96,1.0,0.684213,5,0.239,8,0.5747,0.709,0.449666,0.1264,2025-08-17T10:23:09.360,0.560022
0.670377,0.01574069,0.96,1.0,0.684213,5,0.239,9,0.5747,0.655,0.449666,0.1264,2025-08-17T10:23:22.230,0.560022
0.670377,0.01574069,0.96,1.0,0.684213,5,0.239,10,0.5747,0.699,0.449666,0.1264,2025-08-17T10:23:34.763,0.560022
0.636761,0.01360216,0.85,1.0,0.577992,4,0.074,1,0.5714,0.785,0.320609,0.1446,2025-08-17T10:19:46.982,0.478685
0.636761,0.01360216,0.85,1.0,0.577992,4,0.074,2,0.5714,0.674,0.320609,0.1446,2025-08-17T10:19:59.191,0.478685
0.636761,0.01360216,0.85,1.0,0.577992,4,0.074,3,0.5714,1.117,0.320609,0.1446,2025-08-17T10:20:10.744,0.478685
0.636761,0.01360216,0.85,1.0,0.577992,4,0.074,4,0.5714,1.066,0.320609,0.1446,2025-08-17T10:20:22.277,0.478685
0.636761,0.01360216,0.85,1.0,0.577992,4,0.074,5,0.5714,0.676,0.320609,0.1446,2025-08-17T10:20:33.580,0.478685
