mae_vz,continuity_violation,alignment_error,detection_rate,rmse_total,crystal_count,complexity_index,sample_id,correlation_vz,processing_time,mae_vx,ssim_vz,timestamp,mae_total
0.512692,0.00461716,1.26,1.0,0.569423,5,0.239,1,0.5073,0.858,0.393118,0.1157,2025-08-17T13:23:57.935,0.452905
0.512692,0.00461716,1.26,1.0,0.569423,5,0.239,2,0.5073,0.659,0.393118,0.1157,2025-08-17T13:24:08.488,0.452905
0.512692,0.00461716,1.26,1.0,0.569423,5,0.239,3,0.5073,0.601,0.393118,0.1157,2025-08-17T13:24:19.224,0.452905
0.512692,0.00461716,1.26,1.0,0.569423,5,0.239,4,0.5073,2.063,0.393118,0.1157,2025-08-17T13:24:34.674,0.452905
0.512692,0.00461716,1.26,1.0,0.569423,5,0.239,5,0.5073,2.127,0.393118,0.1157,2025-08-17T13:25:11.668,0.452905
0.512692,0.00461716,1.26,1.0,0.569423,5,0.239,6,0.5073,0.864,0.393118,0.1157,2025-08-17T13:25:23.524,0.452905
0.512692,0.00461716,1.26,1.0,0.569423,5,0.239,7,0.5073,0.607,0.393118,0.1157,2025-08-17T13:25:38.025,0.452905
0.512692,0.00461716,1.26,1.0,0.569423,5,0.239,8,0.5073,0.607,0.393118,0.1157,2025-08-17T13:25:50.076,0.452905
0.512692,0.00461716,1.26,1.0,0.569423,5,0.239,9,0.5073,0.615,0.393118,0.1157,2025-08-17T13:26:00.908,0.452905
0.512692,0.00461716,1.26,1.0,0.569423,5,0.239,10,0.5073,0.598,0.393118,0.1157,2025-08-17T13:26:11.623,0.452905
0.451715,0.00498853,1.31,1.0,0.447545,4,0.074,1,0.4938,0.935,0.269906,0.1479,2025-08-17T13:22:11.652,0.360811
0.451715,0.00498853,1.31,1.0,0.447545,4,0.074,2,0.4938,0.616,0.269906,0.1479,2025-08-17T13:22:22.006,0.360811
0.451715,0.00498853,1.31,1.0,0.447545,4,0.074,3,0.4938,0.587,0.269906,0.1479,2025-08-17T13:22:32.403,0.360811
0.451715,0.00498853,1.31,1.0,0.447545,4,0.074,4,0.4938,0.6,0.269906,0.1479,2025-08-17T13:22:42.931,0.360811
0.451715,0.00498853,1.31,1.0,0.447545,4,0.074,5,0.4938,0.604,0.269906,0.1479,2025-08-17T13:22:53.407,0.360811
0.451715,0.00498853,1.31,1.0,0.447545,4,0.074,6,0.4938,0.852,0.269906,0.1479,2025-08-17T13:23:04.072,0.360811
0.451715,0.00498853,1.31,1.0,0.447545,4,0.074,7,0.4938,0.616,0.269906,0.1479,2025-08-17T13:23:14.422,0.360811
0.451715,0.00498853,1.31,1.0,0.447545,4,0.074,8,0.4938,0.598,0.269906,0.1479,2025-08-17T13:23:25.766,0.360811
0.451715,0.00498853,1.31,1.0,0.447545,4,0.074,9,0.4938,0.652,0.269906,0.1479,2025-08-17T13:23:36.269,0.360811
0.451715,0.00498853,1.31,1.0,0.447545,4,0.074,10,0.4938,0.627,0.269906,0.1479,2025-08-17T13:23:46.996,0.360811
0.647544,0.00077039,0.5,1.0,0.765144,2,0.043,1,0.642,1.021,0.60991,0.1433,2025-08-17T13:18:44.278,0.628727
0.647544,0.00077039,0.5,1.0,0.765144,2,0.043,2,0.642,0.587,0.60991,0.1433,2025-08-17T13:18:54.538,0.628727
0.647544,0.00077039,0.5,1.0,0.765144,2,0.043,3,0.642,0.586,0.60991,0.1433,2025-08-17T13:19:04.839,0.628727
