mae_vz,continuity_violation,alignment_error,detection_rate,rmse_total,crystal_count,complexity_index,sample_id,correlation_vz,processing_time,mae_vx,ssim_vz,timestamp,mae_total
0.378113,0.00635608,56.31,1.0,0.495915,5,0.239,1,0.7003,0.59,0.395312,0.1213,2025-09-07T17:23:16.696,0.386713
0.378113,0.00635608,56.31,1.0,0.495915,5,0.239,2,0.7003,0.54,0.395312,0.1213,2025-09-07T17:23:29.901,0.386713
0.378113,0.00635608,56.31,1.0,0.495915,5,0.239,3,0.7003,0.962,0.395312,0.1213,2025-09-07T17:23:42.654,0.386713
0.378113,0.00635608,56.31,1.0,0.495915,5,0.239,4,0.7003,0.519,0.395312,0.1213,2025-09-07T17:23:54.931,0.386713
0.378113,0.00635608,56.31,1.0,0.495915,5,0.239,5,0.7003,0.549,0.395312,0.1213,2025-09-07T17:24:07.099,0.386713
0.299221,0.00670274,64.25,1.0,0.331208,4,0.074,1,0.7217,0.493,0.215508,0.0779,2025-09-07T17:22:12.152,0.257364
0.299221,0.00670274,64.25,1.0,0.331208,4,0.074,2,0.7217,0.559,0.215508,0.0779,2025-09-07T17:22:24.203,0.257364
0.299221,0.00670274,64.25,1.0,0.331208,4,0.074,3,0.7217,0.589,0.215508,0.0779,2025-09-07T17:22:37.234,0.257364
0.299221,0.00670274,64.25,1.0,0.331208,4,0.074,4,0.7217,0.588,0.215508,0.0779,2025-09-07T17:22:50.027,0.257364
0.299221,0.00670274,64.25,1.0,0.331208,4,0.074,5,0.7217,0.583,0.215508,0.0779,2025-09-07T17:23:03.132,0.257364
0.57516,0.00422681,39.17,1.0,0.726509,6,0.601,1,0.6726,0.57,0.544405,0.1357,2025-09-07T17:24:19.679,0.559782
0.57516,0.00422681,39.17,1.0,0.726509,6,0.601,2,0.6726,0.521,0.544405,0.1357,2025-09-07T17:24:32.084,0.559782
0.57516,0.00422681,39.17,1.0,0.726509,6,0.601,3,0.6726,0.505,0.544405,0.1357,2025-09-07T17:24:43.375,0.559782
0.57516,0.00422681,39.17,1.0,0.726509,6,0.601,4,0.6726,0.991,0.544405,0.1357,2025-09-07T17:24:55.410,0.559782
0.57516,0.00422681,39.17,1.0,0.726509,6,0.601,5,0.6726,0.612,0.544405,0.1357,2025-09-07T17:25:08.298,0.559782
0.630874,0.00262347,6.38,1.0,0.759828,7,0.961,1,0.6762,0.931,0.517531,0.1567,2025-09-07T17:25:22.236,0.574202
0.630874,0.00262347,6.38,1.0,0.759828,7,0.961,2,0.6762,0.574,0.517531,0.1567,2025-09-07T17:25:35.529,0.574202
0.630874,0.00262347,6.38,1.0,0.759828,7,0.961,3,0.6762,0.911,0.517531,0.1567,2025-09-07T17:25:49.094,0.574202
0.630874,0.00262347,6.38,1.0,0.759828,7,0.961,4,0.6762,0.61,0.517531,0.1567,2025-09-07T17:26:02.611,0.574202
0.630874,0.00262347,6.38,1.0,0.759828,7,0.961,5,0.6762,0.572,0.517531,0.1567,2025-09-07T17:26:15.548,0.574202
0.688366,0.00624702,28.48,1.0,0.808064,2,0.043,1,0.3445,0.507,0.631198,0.0176,2025-09-07T17:20:17.209,0.659782
0.688366,0.00624702,28.48,1.0,0.808064,2,0.043,2,0.3445,0.562,0.631198,0.0176,2025-09-07T17:20:28.715,0.659782
0.688366,0.00624702,28.48,1.0,0.808064,2,0.043,3,0.3445,0.517,0.631198,0.0176,2025-09-07T17:20:39.940,0.659782
0.688366,0.00624702,28.48,1.0,0.808064,2,0.043,4,0.3445,0.523,0.631198,0.0176,2025-09-07T17:20:51.330,0.659782
0.688366,0.00624702,28.48,1.0,0.808064,2,0.043,5,0.3445,0.537,0.631198,0.0176,2025-09-07T17:21:02.982,0.659782
0.556384,0.00081779,6.02,1.0,0.686328,10,1.924,1,0.7019,0.556,0.450048,0.2418,2025-09-07T17:28:39.277,0.503216
0.556384,0.00081779,6.02,1.0,0.686328,10,1.924,2,0.7019,0.53,0.450048,0.2418,2025-09-07T17:28:51.333,0.503216
0.556384,0.00081779,6.02,1.0,0.686328,10,1.924,3,0.7019,0.565,0.450048,0.2418,2025-09-07T17:29:04.332,0.503216
0.556384,0.00081779,6.02,1.0,0.686328,10,1.924,4,0.7019,0.555,0.450048,0.2418,2025-09-07T17:29:17.965,0.503216
0.556384,0.00081779,6.02,1.0,0.686328,10,1.924,5,0.7019,0.597,0.450048,0.2418,2025-09-07T17:29:32.111,0.503216
0.478,0.00223178,6.67,1.0,0.5828,9,1.304,1,0.7074,0.979,0.377381,0.2192,2025-09-07T17:27:35.389,0.42769
0.478,0.00223178,6.67,1.0,0.5828,9,1.304,2,0.7074,0.568,0.377381,0.2192,2025-09-07T17:27:48.417,0.42769
0.478,0.00223178,6.67,1.0,0.5828,9,1.304,3,0.7074,0.598,0.377381,0.2192,2025-09-07T17:28:01.536,0.42769
0.478,0.00223178,6.67,1.0,0.5828,9,1.304,4,0.7074,0.558,0.377381,0.2192,2025-09-07T17:28:14.195,0.42769
0.478,0.00223178,6.67,1.0,0.5828,9,1.304,5,0.7074,0.541,0.377381,0.2192,2025-09-07T17:28:26.675,0.42769
0.500477,0.00259405,7.39,1.0,0.583241,8,1.005,1,0.6805,0.553,0.368471,0.2018,2025-09-07T17:26:28.565,0.434474
0.500477,0.00259405,7.39,1.0,0.583241,8,1.005,2,0.6805,0.521,0.368471,0.2018,2025-09-07T17:26:41.784,0.434474
0.500477,0.00259405,7.39,1.0,0.583241,8,1.005,3,0.6805,0.582,0.368471,0.2018,2025-09-07T17:26:54.830,0.434474
0.500477,0.00259405,7.39,1.0,0.583241,8,1.005,4,0.6805,0.517,0.368471,0.2018,2025-09-07T17:27:07.926,0.434474
0.500477,0.00259405,7.39,1.0,0.583241,8,1.005,5,0.6805,0.549,0.368471,0.2018,2025-09-07T17:27:20.708,0.434474
0.588256,0.00544206,51.92,1.0,0.698908,3,0.092,1,0.5118,0.521,0.506,0.0098,2025-09-07T17:21:14.601,0.547128
0.588256,0.00544206,51.92,1.0,0.698908,3,0.092,2,0.5118,0.54,0.506,0.0098,2025-09-07T17:21:26.027,0.547128
0.588256,0.00544206,51.92,1.0,0.698908,3,0.092,3,0.5118,0.489,0.506,0.0098,2025-09-07T17:21:37.510,0.547128
0.588256,0.00544206,51.92,1.0,0.698908,3,0.092,4,0.5118,0.542,0.506,0.0098,2025-09-07T17:21:48.912,0.547128
0.588256,0.00544206,51.92,1.0,0.698908,3,0.092,5,0.5118,0.855,0.506,0.0098,2025-09-07T17:22:00.578,0.547128
0.473845,0.00700669,1.41,1.0,0.601877,1,0.0,1,0.179,0.521,0.466207,0.1691,2025-09-07T17:19:19.850,0.470026
0.473845,0.00700669,1.41,1.0,0.601877,1,0.0,2,0.179,0.559,0.466207,0.1691,2025-09-07T17:19:31.628,0.470026
0.473845,0.00700669,1.41,1.0,0.601877,1,0.0,3,0.179,0.493,0.466207,0.1691,2025-09-07T17:19:42.711,0.470026
0.473845,0.00700669,1.41,1.0,0.601877,1,0.0,4,0.179,0.52,0.466207,0.1691,2025-09-07T17:19:54.111,0.470026
0.473845,0.00700669,1.41,1.0,0.601877,1,0.0,5,0.179,0.993,0.466207,0.1691,2025-09-07T17:20:05.924,0.470026
