mae_vz,continuity_violation,alignment_error,detection_rate,rmse_total,crystal_count,complexity_index,sample_id,correlation_vz,processing_time,mae_vx,ssim_vz,timestamp,mae_total
0.424158,0.01765905,4.96,1.0,0.548971,5,0.239,1,0.645,0.558,0.40493,0.2607,2025-09-07T09:37:23.132,0.414544
0.424158,0.01765905,4.96,1.0,0.548971,5,0.239,2,0.645,0.531,0.40493,0.2607,2025-09-07T09:37:36.625,0.414544
0.424158,0.01765905,4.96,1.0,0.548971,5,0.239,3,0.645,0.554,0.40493,0.2607,2025-09-07T09:37:48.543,0.414544
0.424158,0.01765905,4.96,1.0,0.548971,5,0.239,4,0.645,0.847,0.40493,0.2607,2025-09-07T09:38:01.839,0.414544
0.424158,0.01765905,4.96,1.0,0.548971,5,0.239,5,0.645,0.555,0.40493,0.2607,2025-09-07T09:38:14.748,0.414544
0.310813,0.01627953,2.95,1.0,0.367285,4,0.074,1,0.6873,0.563,0.23735,0.3243,2025-09-07T09:36:19.379,0.274081
0.310813,0.01627953,2.95,1.0,0.367285,4,0.074,2,0.6873,0.539,0.23735,0.3243,2025-09-07T09:36:31.670,0.274081
0.310813,0.01627953,2.95,1.0,0.367285,4,0.074,3,0.6873,0.556,0.23735,0.3243,2025-09-07T09:36:43.650,0.274081
0.310813,0.01627953,2.95,1.0,0.367285,4,0.074,4,0.6873,0.992,0.23735,0.3243,2025-09-07T09:36:55.953,0.274081
0.310813,0.01627953,2.95,1.0,0.367285,4,0.074,5,0.6873,0.564,0.23735,0.3243,2025-09-07T09:37:09.160,0.274081
0.593234,0.01656461,6.7,1.0,0.756763,6,0.601,1,0.6121,0.563,0.546623,0.2055,2025-09-07T09:38:28.508,0.569929
0.593234,0.01656461,6.7,1.0,0.756763,6,0.601,2,0.6121,0.559,0.546623,0.2055,2025-09-07T09:38:40.755,0.569929
0.593234,0.01656461,6.7,1.0,0.756763,6,0.601,3,0.6121,0.529,0.546623,0.2055,2025-09-07T09:38:52.703,0.569929
0.593234,0.01656461,6.7,1.0,0.756763,6,0.601,4,0.6121,0.518,0.546623,0.2055,2025-09-07T09:39:04.771,0.569929
0.593234,0.01656461,6.7,1.0,0.756763,6,0.601,5,0.6121,0.504,0.546623,0.2055,2025-09-07T09:39:16.885,0.569929
0.633304,0.01602933,7.98,1.0,0.791586,7,0.961,1,0.6217,0.613,0.523439,0.2828,2025-09-07T09:39:29.389,0.578371
0.633304,0.01602933,7.98,1.0,0.791586,7,0.961,2,0.6217,0.596,0.523439,0.2828,2025-09-07T09:39:43.068,0.578371
0.633304,0.01602933,7.98,1.0,0.791586,7,0.961,3,0.6217,0.549,0.523439,0.2828,2025-09-07T09:39:56.651,0.578371
0.633304,0.01602933,7.98,1.0,0.791586,7,0.961,4,0.6217,0.503,0.523439,0.2828,2025-09-07T09:40:10.021,0.578371
0.633304,0.01602933,7.98,1.0,0.791586,7,0.961,5,0.6217,0.523,0.523439,0.2828,2025-09-07T09:40:23.226,0.578371
0.616957,0.01446787,3.67,1.0,0.767199,2,0.043,1,0.4849,0.892,0.620384,0.1192,2025-09-07T09:34:13.487,0.618671
0.616957,0.01446787,3.67,1.0,0.767199,2,0.043,2,0.4849,0.562,0.620384,0.1192,2025-09-07T09:34:25.290,0.618671
0.616957,0.01446787,3.67,1.0,0.767199,2,0.043,3,0.4849,0.616,0.620384,0.1192,2025-09-07T09:34:36.930,0.618671
0.616957,0.01446787,3.67,1.0,0.767199,2,0.043,4,0.4849,0.628,0.620384,0.1192,2025-09-07T09:34:49.303,0.618671
0.616957,0.01446787,3.67,1.0,0.767199,2,0.043,5,0.4849,0.856,0.620384,0.1192,2025-09-07T09:35:02.474,0.618671
0.631303,0.0196443,8.23,1.0,0.792576,10,1.924,1,0.6617,0.656,0.48606,0.3463,2025-09-07T09:42:48.640,0.558682
0.631303,0.0196443,8.23,1.0,0.792576,10,1.924,2,0.6617,0.538,0.48606,0.3463,2025-09-07T09:43:02.031,0.558682
0.631303,0.0196443,8.23,1.0,0.792576,10,1.924,3,0.6617,1.037,0.48606,0.3463,2025-09-07T09:43:15.952,0.558682
0.631303,0.0196443,8.23,1.0,0.792576,10,1.924,4,0.6617,0.593,0.48606,0.3463,2025-09-07T09:43:29.456,0.558682
0.631303,0.0196443,8.23,1.0,0.792576,10,1.924,5,0.6617,0.532,0.48606,0.3463,2025-09-07T09:43:43.233,0.558682
0.586292,0.01953155,8.36,1.0,0.710954,9,1.304,1,0.6551,0.599,0.418563,0.3407,2025-09-07T09:41:43.296,0.502427
0.586292,0.01953155,8.36,1.0,0.710954,9,1.304,2,0.6551,0.495,0.418563,0.3407,2025-09-07T09:41:55.594,0.502427
0.586292,0.01953155,8.36,1.0,0.710954,9,1.304,3,0.6551,0.962,0.418563,0.3407,2025-09-07T09:42:08.228,0.502427
0.586292,0.01953155,8.36,1.0,0.710954,9,1.304,4,0.6551,0.559,0.418563,0.3407,2025-09-07T09:42:20.527,0.502427
0.586292,0.01953155,8.36,1.0,0.710954,9,1.304,5,0.6551,0.558,0.418563,0.3407,2025-09-07T09:42:34.465,0.502427
0.563724,0.01695138,8.5,1.0,0.684468,8,1.005,1,0.6305,0.557,0.404028,0.3354,2025-09-07T09:40:37.003,0.483876
0.563724,0.01695138,8.5,1.0,0.684468,8,1.005,2,0.6305,0.601,0.404028,0.3354,2025-09-07T09:40:50.344,0.483876
0.563724,0.01695138,8.5,1.0,0.684468,8,1.005,3,0.6305,0.567,0.404028,0.3354,2025-09-07T09:41:02.972,0.483876
0.563724,0.01695138,8.5,1.0,0.684468,8,1.005,4,0.6305,0.565,0.404028,0.3354,2025-09-07T09:41:16.353,0.483876
0.563724,0.01695138,8.5,1.0,0.684468,8,1.005,5,0.6305,0.567,0.404028,0.3354,2025-09-07T09:41:29.884,0.483876
0.510944,0.01434581,3.19,1.0,0.657024,3,0.092,1,0.5812,0.952,0.492071,0.2172,2025-09-07T09:35:15.394,0.501507
