epoch,train_mse,grad_norm,alpha,val_mse,val_rel_l2,val_grad_mse
1,7.55925161e+01,1.61174314e+02,0.00000000e+00,8.06830359e+00,5.19985973e-01,2.85740258e+02
2,5.86753988e+01,1.17736442e+02,0.00000000e+00,6.74023082e+00,4.71583532e-01,3.12028229e+02
3,5.34873572e+01,9.84915257e+01,0.00000000e+00,7.03178171e+00,4.82091616e-01,3.26247886e+02
4,4.97107815e+01,8.53456027e+01,0.00000000e+00,6.61558999e+00,4.65663547e-01,4.39873843e+02
5,4.65953476e+01,7.74310652e+01,0.00000000e+00,5.76048259e+00,4.33906208e-01,4.01398640e+02
6,4.76860150e+01,7.14652259e+01,2.00000014e-02,5.71578730e+00,4.31000026e-01,1.44378623e+02
7,4.64704548e+01,7.00814331e+01,4.00000028e-02,5.25039322e+00,4.13074060e-01,1.23371074e+02
8,4.59036871e+01,6.62449814e+01,6.00000024e-02,4.65994857e+00,3.89157040e-01,1.11223044e+02
9,4.55138327e+01,6.46226997e+01,8.00000057e-02,5.02958591e+00,3.98280057e-01,1.02059949e+02
10,4.54008416e+01,5.98939997e+01,1.00000001e-01,4.61930108e+00,3.84578650e-01,9.00369062e+01
11,4.34669409e+01,5.64621155e+01,1.00000001e-01,4.09388005e+00,3.54769651e-01,8.38508501e+01
12,4.21383559e+01,5.25137087e+01,1.00000001e-01,4.52543095e+00,3.79612019e-01,9.19916494e+01
13,4.09614384e+01,5.11583871e+01,1.00000001e-01,4.19664305e+00,3.59368728e-01,8.47398230e+01
14,4.00315858e+01,4.87493651e+01,1.00000001e-01,3.95243177e+00,3.50611777e-01,8.17948461e+01
15,3.89855577e+01,4.70269094e+01,1.00000001e-01,4.11030856e+00,3.53940740e-01,8.00634627e+01
16,3.83024508e+01,4.58397046e+01,1.00000001e-01,4.13380800e+00,3.57251949e-01,7.55299776e+01
17,3.71339046e+01,4.29264917e+01,1.00000001e-01,4.24790177e+00,3.65017832e-01,8.39244750e+01
18,3.66669359e+01,4.20961736e+01,1.00000001e-01,4.18527701e+00,3.58771104e-01,8.35094731e+01
19,3.62731134e+01,4.13199091e+01,1.00000001e-01,4.18742102e+00,3.58977414e-01,8.47914419e+01
20,3.55569594e+01,3.97994022e+01,1.00000001e-01,4.23600433e+00,3.63346875e-01,8.36359927e+01
21,3.50546522e+01,4.01347685e+01,1.00000001e-01,4.52772728e+00,3.72591013e-01,8.27477695e+01
22,3.44464117e+01,3.87973650e+01,1.00000001e-01,4.28347984e+00,3.61610649e-01,8.08572924e+01
23,3.41707497e+01,3.85677986e+01,1.00000001e-01,3.88417127e+00,3.41302815e-01,7.41997465e+01
24,3.32001555e+01,3.75398530e+01,1.00000001e-01,3.89857707e+00,3.47452749e-01,7.40905258e+01
25,3.30166825e+01,3.72208067e+01,1.00000001e-01,4.07971704e+00,3.56391517e-01,8.27905752e+01
26,3.25411493e+01,3.66375110e+01,1.00000001e-01,4.05567329e+00,3.49206819e-01,7.82774480e+01
27,3.18957093e+01,3.65681975e+01,1.00000001e-01,3.75771921e+00,3.34397065e-01,7.46403530e+01
28,3.15204658e+01,3.67070836e+01,1.00000001e-01,3.84846264e+00,3.49539919e-01,7.51695029e+01
29,3.09854110e+01,3.62605990e+01,1.00000001e-01,4.01395532e+00,3.47403741e-01,7.85359527e+01
30,3.05057550e+01,3.66616039e+01,1.00000001e-01,3.96224580e+00,3.44174093e-01,8.26343407e+01
31,3.00347297e+01,3.57910876e+01,1.00000001e-01,3.63437788e+00,3.30217035e-01,7.34940639e+01
32,2.97407025e+01,3.52242734e+01,1.00000001e-01,3.74301644e+00,3.38220414e-01,7.51417795e+01
33,2.91754629e+01,3.53599493e+01,1.00000001e-01,3.63300907e+00,3.29337018e-01,7.56230790e+01
34,2.89210947e+01,3.55375019e+01,1.00000001e-01,3.82254580e+00,3.43770816e-01,7.69836352e+01
