epoch,train_mse,grad_norm,alpha,val_mse,val_rel_l2,val_grad_mse
1,1.00598527e+02,6.10471268e+02,0.00000000e+00,4.17310667e+00,4.08540308e-01,4.41726449e+02
2,4.13746755e+01,4.16668281e+02,0.00000000e+00,2.49951308e+00,3.15834957e-01,6.10403416e+02
3,2.42934382e+01,3.78337192e+02,0.00000000e+00,1.96075666e+00,2.81614223e-01,5.37967573e+02
4,1.75635990e+01,3.31372812e+02,0.00000000e+00,1.30972065e+00,2.30014207e-01,6.73331273e+02
5,1.37629134e+01,3.12363147e+02,0.00000000e+00,1.13701387e+00,2.09451956e-01,6.60987087e+02
6,1.67651117e+01,2.77206930e+02,2.00000014e-02,4.49829732e-01,1.32247819e-01,7.21774739e+01
7,1.22264472e+01,2.34574410e+02,4.00000028e-02,5.36552557e-01,1.43850543e-01,4.64068462e+01
8,1.31506965e+01,2.60480081e+02,6.00000024e-02,4.00308707e-01,1.23444984e-01,3.22982404e+01
9,1.12191670e+01,2.39191170e+02,8.00000057e-02,3.43401696e-01,1.13956044e-01,2.51124902e+01
10,1.15217021e+01,2.33687292e+02,1.00000001e-01,5.03826090e-01,1.39962031e-01,2.43073469e+01
11,9.94465316e+00,2.19016039e+02,1.00000001e-01,5.05634712e-01,1.42557370e-01,1.93693785e+01
12,9.15428801e+00,2.15911403e+02,1.00000001e-01,3.59982086e-01,1.19648813e-01,1.97373344e+01
13,8.79157891e+00,1.98636680e+02,1.00000001e-01,3.54697681e-01,1.17276098e-01,1.72353994e+01
14,1.01256501e+01,2.07361088e+02,1.00000001e-01,2.69685727e-01,1.00511487e-01,1.35142414e+01
15,8.27624721e+00,1.78409302e+02,1.00000001e-01,2.43144295e-01,9.59582872e-02,1.35395461e+01
16,8.95974974e+00,1.91887001e+02,1.00000001e-01,3.59371952e-01,1.18490553e-01,1.79157693e+01
17,9.47726338e+00,2.20326614e+02,1.00000001e-01,4.19745858e-01,1.27450725e-01,1.73671991e+01
18,7.65134558e+00,1.77700795e+02,1.00000001e-01,2.49158111e-01,9.68776803e-02,1.28792783e+01
19,7.57159045e+00,1.78677191e+02,1.00000001e-01,2.44522168e-01,9.55453228e-02,1.30243405e+01
20,8.77792265e+00,1.95685929e+02,1.00000001e-01,4.01453087e-01,1.21798513e-01,1.68722181e+01
21,6.98664446e+00,1.63376231e+02,1.00000001e-01,2.61602116e-01,1.00435813e-01,1.24100604e+01
22,6.77388964e+00,1.64425956e+02,1.00000001e-01,2.30851746e-01,9.43650752e-02,1.21539544e+01
23,5.96949136e+00,1.52979146e+02,1.00000001e-01,1.89683723e-01,8.63953616e-02,1.08066414e+01
24,8.09351273e+00,1.95552298e+02,1.00000001e-01,4.88531479e-01,1.35754090e-01,2.01359561e+01
25,7.51247084e+00,1.62578886e+02,1.00000001e-01,2.02628850e-01,8.91543180e-02,1.08084076e+01
26,6.84340687e+00,1.59840200e+02,1.00000001e-01,1.87987233e-01,8.58214753e-02,1.07987454e+01
27,6.71223376e+00,1.62497585e+02,1.00000001e-01,2.70553938e-01,1.01168830e-01,1.22346732e+01
28,6.45962369e+00,1.55927448e+02,1.00000001e-01,1.96910952e-01,8.50497676e-02,9.69714560e+00
29,6.23012754e+00,1.49182805e+02,1.00000001e-01,2.91204299e-01,1.06338884e-01,1.09918627e+01
30,6.87879349e+00,1.62889898e+02,1.00000001e-01,4.06255326e-01,1.27114583e-01,1.38458789e+01
31,7.70766989e+00,1.82908276e+02,1.00000001e-01,3.46064723e-01,1.15859975e-01,1.22959637e+01
32,6.39964527e+00,1.51951147e+02,1.00000001e-01,2.09149693e-01,9.00045633e-02,9.60792371e+00
33,5.47103433e+00,1.35349759e+02,1.00000001e-01,2.47027976e-01,9.74493591e-02,1.03188644e+01
34,5.87734352e+00,1.40942090e+02,1.00000001e-01,2.73254605e-01,1.01348476e-01,1.23449593e+01
35,5.81553999e+00,1.47905046e+02,1.00000001e-01,1.33454510e-01,7.10593116e-02,7.25028753e+00
36,5.64651617e+00,1.55413408e+02,1.00000001e-01,2.90681977e-01,1.05737879e-01,1.26448506e+01
37,5.09567401e+00,1.24469323e+02,1.00000001e-01,1.21233592e-01,6.85850515e-02,6.08651182e+00
38,4.57650809e+00,1.16100483e+02,1.00000001e-01,1.66448555e-01,7.86874928e-02,7.54620797e+00
39,4.63572640e+00,1.18298539e+02,1.00000001e-01,1.72003846e-01,8.11721065e-02,7.83872747e+00
40,5.22095476e+00,1.44765308e+02,1.00000001e-01,2.31846929e-01,9.49203691e-02,1.05585352e+01
41,5.92818886e+00,1.32434747e+02,1.00000001e-01,1.41902875e-01,7.37625573e-02,7.91627829e+00
42,4.54579700e+00,1.19216361e+02,1.00000001e-01,1.39156659e-01,7.32785479e-02,7.11095667e+00
43,4.05511785e+00,1.09009071e+02,1.00000001e-01,1.80344806e-01,8.35941519e-02,7.48668589e+00
44,5.13557357e+00,1.29715409e+02,1.00000001e-01,2.49614749e-01,9.52023954e-02,8.86551462e+00
45,4.16525630e+00,1.06997491e+02,1.00000001e-01,1.62607931e-01,8.02132296e-02,7.57120936e+00
46,5.07102778e+00,1.26677208e+02,1.00000001e-01,1.69784652e-01,8.15213440e-02,8.21395234e+00
47,4.34410033e+00,1.07598023e+02,1.00000001e-01,1.26863961e-01,6.95042711e-02,7.48033578e+00
48,4.67160183e+00,1.30888231e+02,1.00000001e-01,2.14316153e-01,9.08378863e-02,9.45572172e+00
49,5.65397915e+00,1.35777900e+02,1.00000001e-01,1.49118096e-01,7.56292503e-02,8.33908510e+00
50,4.10729669e+00,1.10022341e+02,1.00000001e-01,1.44149539e-01,7.42341392e-02,6.94836473e+00
51,3.63731376e+00,9.75317287e+01,1.00000001e-01,1.49410442e-01,7.42449909e-02,6.46912691e+00
52,4.32267613e+00,1.10739856e+02,1.00000001e-01,1.57427284e-01,7.81073826e-02,8.75414957e+00
53,3.94041559e+00,9.82742902e+01,1.00000001e-01,2.28500691e-01,9.27729745e-02,1.01264704e+01
54,4.63517508e+00,1.22491986e+02,1.00000001e-01,1.63710665e-01,7.86532568e-02,7.39177908e+00
55,4.16670742e+00,1.04101757e+02,1.00000001e-01,1.33888108e-01,7.22366486e-02,7.44442579e+00
56,3.61807612e+00,9.01940677e+01,1.00000001e-01,1.24099558e-01,6.96531609e-02,6.37736773e+00
57,3.59125766e+00,9.44279310e+01,1.00000001e-01,1.26301694e-01,7.01565913e-02,6.61896263e+00
58,3.57127262e+00,9.72150375e+01,1.00000001e-01,2.19443794e-01,8.97981822e-02,7.35726404e+00
59,3.52807915e+00,9.01873461e+01,1.00000001e-01,1.19305993e-01,6.68766073e-02,5.91794961e+00
60,4.16855039e+00,1.13932681e+02,1.00000001e-01,1.99052570e-01,8.71110825e-02,7.41628953e+00
