epoch,train_mse,grad_norm,alpha,val_mse,val_rel_l2,val_grad_mse
1,4.81613830e+01,2.30745006e+02,0.00000000e+00,4.59500074e+00,4.26232964e-01,5.13068568e+02
2,1.84311640e+01,1.86176213e+02,0.00000000e+00,2.20070872e+00,2.91158259e-01,5.47692362e+02
3,1.23233052e+01,1.46323697e+02,0.00000000e+00,2.02986706e+00,2.82143685e-01,4.73819296e+02
4,1.01389127e+01,1.24862660e+02,0.00000000e+00,9.28522619e-01,1.89953978e-01,4.57641583e+02
5,8.31747648e+00,1.03786338e+02,0.00000000e+00,8.73760654e-01,1.84837785e-01,4.71549854e+02
6,1.01021848e+01,1.08516623e+02,2.00000014e-02,1.11327012e+00,2.08298601e-01,6.71246291e+01
7,8.48945483e+00,9.77617723e+01,4.00000028e-02,5.46535917e-01,1.44494593e-01,3.50471067e+01
8,8.10196659e+00,9.55455264e+01,6.00000024e-02,5.37307719e-01,1.42804391e-01,3.22934385e+01
9,6.99021086e+00,8.24975349e+01,8.00000057e-02,5.76087312e-01,1.47339930e-01,2.35565657e+01
10,8.05804463e+00,9.60584486e+01,1.00000001e-01,6.12110163e-01,1.50581833e-01,2.76615568e+01
11,6.56020659e+00,8.28429096e+01,1.00000001e-01,5.00075558e-01,1.40373926e-01,2.18035066e+01
12,5.66770400e+00,7.09108896e+01,1.00000001e-01,4.42518642e-01,1.28258173e-01,1.88595010e+01
13,5.17288856e+00,7.12655299e+01,1.00000001e-01,4.13020737e-01,1.26456552e-01,1.80472794e+01
14,5.54920762e+00,7.23831787e+01,1.00000001e-01,7.28062946e-01,1.69283402e-01,2.38984602e+01
15,6.05496329e+00,7.70115147e+01,1.00000001e-01,2.86430044e-01,1.05277594e-01,1.37906785e+01
16,5.09172265e+00,6.48974150e+01,1.00000001e-01,6.43605974e-01,1.54167901e-01,1.96867433e+01
17,5.22790886e+00,6.23051925e+01,1.00000001e-01,5.01171293e-01,1.39342560e-01,1.76404865e+01
18,4.55111218e+00,5.72585418e+01,1.00000001e-01,5.19518346e-01,1.41837803e-01,1.90821015e+01
19,4.24957000e+00,5.69301506e+01,1.00000001e-01,2.96864447e-01,1.05366685e-01,1.41921097e+01
20,4.32939660e+00,5.68770240e+01,1.00000001e-01,4.13231599e-01,1.26156357e-01,1.46599330e+01
21,4.03683581e+00,5.45537429e+01,1.00000001e-01,1.88318314e-01,8.26211907e-02,1.00629954e+01
22,4.05021677e+00,5.68544781e+01,1.00000001e-01,2.66505325e-01,1.01437548e-01,1.40555429e+01
23,3.96488102e+00,5.50186911e+01,1.00000001e-01,1.81586958e-01,8.22140070e-02,9.14984582e+00
24,4.16971440e+00,5.37440079e+01,1.00000001e-01,2.60662018e-01,1.00244535e-01,1.13284531e+01
25,3.94880538e+00,4.98609947e+01,1.00000001e-01,2.05629686e-01,8.63218531e-02,9.17846834e+00
26,3.69999596e+00,4.71934837e+01,1.00000001e-01,3.45612800e-01,1.15595921e-01,1.19004255e+01
27,4.02228872e+00,5.17998092e+01,1.00000001e-01,5.01925938e-01,1.39874051e-01,1.56694631e+01
28,3.95583762e+00,4.90790636e+01,1.00000001e-01,2.57700509e-01,9.89257636e-02,1.03717485e+01
29,3.64759251e+00,4.53977665e+01,1.00000001e-01,2.01564523e-01,8.72715138e-02,1.08092694e+01
30,3.82456760e+00,4.84515082e+01,1.00000001e-01,1.69893087e-01,8.06655511e-02,9.29865287e+00
31,3.78914135e+00,4.61113455e+01,1.00000001e-01,3.06501765e-01,1.07779259e-01,1.27886621e+01
32,3.41778653e+00,4.34754217e+01,1.00000001e-01,2.19947304e-01,9.18413745e-02,1.12126167e+01
33,3.01658295e+00,4.04024369e+01,1.00000001e-01,1.64671694e-01,7.88885917e-02,6.32151783e+00
34,3.65890635e+00,4.32875269e+01,1.00000001e-01,3.13168165e-01,1.09018045e-01,1.21814327e+01
35,3.35381575e+00,4.09702138e+01,1.00000001e-01,1.48930966e-01,7.32315535e-02,7.00565830e+00
36,3.02011204e+00,3.76737300e+01,1.00000001e-01,1.71223924e-01,8.15372513e-02,8.69758034e+00
37,3.36953225e+00,4.04611355e+01,1.00000001e-01,1.33939950e-01,7.05457141e-02,6.35104827e+00
