sample_idx,crystal_idx,n_crystals,cx,cz,x_center,z_center,dist_center,dist_corner_1,dist_corner_2,dist_corner_3,dist_corner_4,mse_psi,relL2_psi
1,1,1,1.969584e-01,-3.562657e-01,0.000000e+00,0.000000e+00,4.070846e-01,1.359082e+00,1.029208e+00,1.808913e+00,1.576177e+00,4.203628e-25,9.168199e-02
2,1,1,7.593387e-01,-8.097596e-02,0.000000e+00,0.000000e+00,7.636441e-01,1.984913e+00,9.500121e-01,2.064893e+00,1.107442e+00,1.655624e-25,2.183864e-02
3,1,1,5.484340e-01,-2.152903e-01,0.000000e+00,0.000000e+00,5.891772e-01,1.735920e+00,9.053625e-01,1.968395e+00,1.296473e+00,1.504808e-25,2.743153e-02
4,1,1,-4.345449e-01,-7.933626e-01,0.000000e+00,0.000000e+00,9.045737e-01,6.020287e-01,1.449351e+00,1.880396e+00,2.296534e+00,9.691043e-26,9.227762e-02
5,1,1,-6.292050e-01,5.990118e-01,0.000000e+00,0.000000e+00,8.687428e-01,1.641441e+00,2.282794e+00,5.461506e-01,1.677826e+00,4.004851e-25,6.551677e-02
6,1,1,2.863411e-01,1.524194e-01,0.000000e+00,0.000000e+00,3.243807e-01,1.727062e+00,1.355500e+00,1.540476e+00,1.108017e+00,2.051510e-25,4.831322e-02
7,1,1,-3.538986e-01,-3.365137e-01,0.000000e+00,0.000000e+00,4.883499e-01,9.261000e-01,1.507732e+00,1.484492e+00,1.902448e+00,2.857098e-25,5.584074e-02
8,1,1,-3.347555e-02,-6.055591e-01,0.000000e+00,0.000000e+00,6.064837e-01,1.043912e+00,1.106190e+00,1.874030e+00,1.909422e+00,7.485446e-25,2.020116e-01
9,1,1,6.392987e-01,-6.525809e-01,0.000000e+00,0.000000e+00,9.135451e-01,1.675709e+00,5.008048e-01,2.327729e+00,1.691487e+00,2.124673e-25,5.442153e-02
10,1,1,-4.403245e-02,-5.707090e-01,0.000000e+00,0.000000e+00,5.724051e-01,1.047934e+00,1.128847e+00,1.838750e+00,1.886036e+00,7.943569e-25,1.943338e-01
11,1,1,-7.098318e-01,-1.720743e-03,0.000000e+00,0.000000e+00,7.098339e-01,1.039596e+00,1.979921e+00,1.042901e+00,1.981658e+00,4.209123e-25,3.608413e-02
12,1,1,1.631837e-01,3.037602e-01,0.000000e+00,0.000000e+00,3.448176e-01,1.747223e+00,1.549210e+00,1.355635e+00,1.088582e+00,2.531613e-25,7.274721e-02
13,1,1,7.610500e-01,-3.552492e-01,0.000000e+00,0.000000e+00,8.398804e-01,1.875367e+00,6.876051e-01,2.222161e+00,1.376153e+00,1.317430e-25,2.272828e-02
14,1,1,-3.179174e-01,-7.580147e-01,0.000000e+00,0.000000e+00,8.219841e-01,7.237358e-01,1.339949e+00,1.885697e+00,2.197162e+00,1.286143e-25,9.908783e-02
15,1,1,-6.700605e-01,3.792743e-01,0.000000e+00,0.000000e+00,7.699546e-01,1.418188e+00,2.165987e+00,7.029655e-01,1.781685e+00,4.340250e-25,4.588397e-02
16,1,1,-2.494221e-01,-1.822831e-01,0.000000e+00,0.000000e+00,3.089312e-01,1.109968e+00,1.493224e+00,1.400414e+00,1.720130e+00,2.456482e-25,5.753929e-02
17,1,1,-4.524307e-01,-1.482110e-01,0.000000e+00,0.000000e+00,4.760883e-01,1.012609e+00,1.683775e+00,1.272093e+00,1.851471e+00,4.184902e-25,5.114660e-02
18,1,1,8.834858e-02,-6.046157e-01,0.000000e+00,0.000000e+00,6.110365e-01,1.157943e+00,9.936987e-01,1.938890e+00,1.845508e+00,2.636379e-25,1.157866e-01
